2026-09-05 00:26:08,926 | INFO | attendance | FaceGallery: loaded 0 employees with faces
2026-09-05 00:26:08,926 | INFO | attendance | FaceEngine: gallery is empty, nothing to train
2026-09-05 00:26:08,927 | INFO | attendance | EmployeeService: gallery rebuild complete
2026-09-05 00:26:08,927 | INFO | attendance | Startup: ready!
2026-09-05 00:26:09,009 | INFO | attendance | Camera '1' (id=1): connecting to 0
2026-09-05 00:26:09,734 | INFO | attendance | Camera '1': connected successfully
2026-09-05 00:26:10,610 | INFO | attendance | New session created: id=5, type=unknown, emp_id=-, camera=1
2026-09-05 00:26:13,542 | INFO | attendance | New session created: id=6, type=unknown, emp_id=-, camera=1
2026-09-05 00:26:16,823 | INFO | attendance | Saved face for employee 1: E:\face_l\data\images\employees\1\face_1788555376785.jpg
2026-09-05 00:26:16,967 | INFO | attendance | FaceEngine: gallery marked for rebuild
2026-09-05 00:26:16,967 | INFO | attendance | EmployeeService: added face 1 to employee 1
2026-09-05 00:26:22,867 | INFO | attendance | Saved face for employee 1: E:\face_l\data\images\employees\1\face_1788555382865.jpg
2026-09-05 00:26:23,000 | INFO | attendance | FaceEngine: gallery marked for rebuild
2026-09-05 00:26:23,002 | INFO | attendance | EmployeeService: added face 2 to employee 1
2026-09-05 00:26:28,383 | INFO | attendance | Saved face for employee 1: E:\face_l\data\images\employees\1\face_1788555388382.jpg
2026-09-05 00:26:28,521 | INFO | attendance | FaceEngine: gallery marked for rebuild
2026-09-05 00:26:28,522 | INFO | attendance | EmployeeService: added face 3 to employee 1
2026-09-05 00:26:37,308 | INFO | attendance | Shutdown: stopping all cameras...
2026-09-05 00:26:37,762 | INFO | attendance | Camera '1': disconnected
2026-09-05 00:26:37,762 | INFO | attendance | CameraService: stopped all cameras
2026-09-05 00:26:37,763 | INFO | attendance | Camera '1': disconnected
2026-09-05 00:26:37,763 | INFO | attendance | Shutdown: closing active sessions...
2026-09-05 00:26:37,763 | INFO | attendance | Camera loop stopped for '1'
2026-09-05 00:26:37,853 | INFO | attendance | Closed 2 active sessions on shutdown
2026-09-05 00:26:37,853 | INFO | attendance | Shutdown complete. Closed 2 sessions.
2026-09-05 00:26:45,962 | INFO | attendance | FaceDetector initialized with ONNX Runtime (UltraFace) (model: ultraface-RFB-320.onnx, input: 320x240)
2026-09-05 00:26:45,963 | WARNING | attendance | FaceEngine: cv2.face not available, falling back to simple distance mode
2026-09-05 00:26:45,964 | INFO | attendance | AttendanceService initialized
2026-09-05 00:26:45,964 | INFO | attendance | CameraService: processor service attached
2026-09-05 00:26:45,966 | INFO | attendance | Application started successfully.
2026-09-05 00:26:45,966 | INFO | attendance | Face engine mode: simple
2026-09-05 00:26:45,967 | INFO | attendance | Face detector: ultraface
2026-09-05 00:26:46,027 | INFO | attendance | Startup: starting active cameras...
2026-09-05 00:26:46,030 | INFO | attendance | Camera loop started for '1' (area_id=1)
2026-09-05 00:26:46,135 | INFO | attendance | CameraService: started 1 cameras
2026-09-05 00:26:46,135 | INFO | attendance | Startup: building face gallery...
2026-09-05 00:26:46,135 | INFO | attendance | EmployeeService: rebuilding face gallery...
2026-09-05 00:26:46,170 | INFO | attendance | FaceGallery: loaded 1 employees with faces
2026-09-05 00:26:46,174 | INFO | attendance | EmployeeService: gallery rebuild complete
2026-09-05 00:26:46,174 | INFO | attendance | Startup: ready!
2026-09-05 00:26:46,211 | INFO | attendance | Camera '1' (id=1): connecting to 0
2026-09-05 00:26:46,956 | INFO | attendance | Camera '1': connected successfully
2026-09-05 00:26:56,001 | INFO | attendance | New session created: id=7, type=employee, emp_id=1, camera=1
2026-09-05 00:26:56,522 | INFO | attendance | New session created: id=8, type=unknown, emp_id=-, camera=1
2026-09-05 00:26:59,276 | INFO | attendance | New session created: id=9, type=unknown, emp_id=-, camera=1
